"TOA5","LESA_GPS","CR300","11089","CR310-CELL210.Std.10.04","CPU:CAFE_GPS_LESA_2023.CR300","607","GPS"
"TIMESTAMP","RECORD","BattV","PTemp","Latitude","Longitude","Altitude","SolarElev","SolarAzi"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-31 00:15:00",1876,12.76,15.91,42.8111,-113.6699,1312,-25.17,355.6
"2023-05-31 00:30:00",1877,12.81,15.62,42.81104,-113.67,1312,-25.29,359.4
"2023-05-31 00:45:00",1878,12.74,15.47,42.81097,-113.67,1315,-25.22,3.25
"2023-05-31 01:00:00",1879,12.73,15.39,42.81088,-113.67,1315,-24.97,7.083
"2023-05-31 01:15:00",1880,12.72,14.92,42.81083,-113.67,1317,-24.54,10.88
"2023-05-31 01:30:00",1881,12.64,14.59,42.81076,-113.6701,1320,-23.93,14.64
"2023-05-31 01:45:00",1882,12.68,14.23,42.8107,-113.6701,1320,-23.15,18.34
"2023-05-31 02:00:00",1883,12.7,13.93,42.81063,-113.6702,1319,-22.2,21.97
"2023-05-31 02:15:00",1884,12.69,13.66,42.81055,-113.6702,1320,-21.09,25.52
"2023-05-31 02:30:00",1885,12.62,13.44,42.8105,-113.6702,1321,-19.83,28.98
"2023-05-31 02:45:00",1886,12.67,13.45,42.8104,-113.6703,1316,-18.42,32.35
"2023-05-31 03:00:00",1887,12.65,13.62,42.81033,-113.6703,1317,-16.88,35.62
"2023-05-31 03:15:00",1888,12.65,13.66,42.81026,-113.6704,1317,-15.21,38.8
"2023-05-31 03:30:00",1889,12.62,13.64,42.81019,-113.6705,1317,-13.43,41.88
"2023-05-31 03:45:00",1890,12.6,13.57,42.81012,-113.6705,1313,-11.54,44.87
"2023-05-31 04:00:00",1891,12.63,13.39,42.81007,-113.6706,1315,-9.54,47.78
"2023-05-31 04:15:00",1892,12.61,13.09,42.81,-113.6707,1316,-7.45,50.59
"2023-05-31 04:30:00",1893,12.53,12.78,42.80994,-113.6708,1316,-5.266,53.33
"2023-05-31 04:45:00",1894,12.59,12.64,42.80989,-113.6708,1318,-2.983,56
"2023-05-31 05:00:00",1895,12.58,12.45,42.80982,-113.6709,1317,-0.386,58.59
"2023-05-31 05:15:00",1896,12.59,12.41,42.80979,-113.671,1315,1.886,61.13
"2023-05-31 05:30:00",1897,12.71,12.4,42.80975,-113.671,1315,4.219,63.62
"2023-05-31 05:45:00",1898,12.68,12.46,42.80969,-113.6711,1315,6.66,66.05
"2023-05-31 06:00:00",1899,12.98,13.18,42.80964,-113.6712,1313,9.17,68.46
"2023-05-31 06:15:00",1900,12.88,13.65,42.8096,-113.6713,1313,11.73,70.83
"2023-05-31 06:30:00",1901,12.91,14.05,42.80956,-113.6714,1310,14.34,73.18
"2023-05-31 06:45:00",1902,13.62,15.38,42.80952,-113.6715,1312,16.98,75.52
"2023-05-31 07:00:00",1903,13.57,17.28,42.80949,-113.6716,1316,19.65,77.86
"2023-05-31 07:15:00",1904,13.84,19.9,42.80945,-113.6717,1319,22.35,80.2
"2023-05-31 07:30:00",1905,13.76,22.6,42.80942,-113.6718,1320,25.06,82.6
"2023-05-31 07:45:00",1906,13.64,24.93,42.80938,-113.6719,1321,27.79,85
"2023-05-31 08:00:00",1907,13.61,26.69,42.80936,-113.672,1321,30.54,87.4
"2023-05-31 08:15:00",1908,13.59,27.62,42.80934,-113.6721,1320,33.29,89.9
"2023-05-31 08:30:00",1909,13.65,28.14,42.80932,-113.6722,1319,36.03,92.5
"2023-05-31 08:45:00",1910,13.56,28.49,42.80931,-113.6722,1315,38.78,95.2
"2023-05-31 09:00:00",1911,13.54,29.22,42.80928,-113.6723,1315,41.51,98
"2023-05-31 09:15:00",1912,13.5,30.15,42.80927,-113.6724,1316,44.22,101
"2023-05-31 09:30:00",1913,13.42,31.18,42.80925,-113.6725,1318,46.91,104.1
"2023-05-31 09:45:00",1914,13.49,32.04,42.80923,-113.6726,1317,49.55,107.5
"2023-05-31 10:00:00",1915,13.49,32.79,42.80922,-113.6728,1317,52.15,111.2
"2023-05-31 10:15:00",1916,13.48,33.13,42.80922,-113.6728,1317,54.68,115.2
"2023-05-31 10:30:00",1917,13.42,33.46,42.80923,-113.673,1316,57.12,119.6
"2023-05-31 10:45:00",1918,13.47,33.72,42.80922,-113.6731,1316,59.45,124.5
"2023-05-31 11:00:00",1919,13.47,33.99,42.80923,-113.6732,1316,61.64,130
"2023-05-31 11:15:00",1920,13.45,34.06,42.80925,-113.6733,1315,63.65,136.2
"2023-05-31 11:30:00",1921,13.4,33.94,42.80924,-113.6734,1315,65.43,143.1
"2023-05-31 11:45:00",1922,13.41,33.97,42.80925,-113.6735,1315,66.93,150.9
"2023-05-31 12:00:00",1923,13.42,34.03,42.80925,-113.6736,1311,68.09,159.5
"2023-05-31 12:15:00",1924,13.42,33.94,42.8093,-113.6737,1318,68.84,168.8
"2023-05-31 12:30:00",1925,13.48,33.57,42.80932,-113.6738,1318,69.15,178.4
"2023-05-31 12:45:00",1926,13.42,33.31,42.80935,-113.6739,1312,68.99,188.2
"2023-05-31 13:00:00",1927,13.43,33.47,42.80936,-113.674,1317,68.38,197.6
"2023-05-31 13:15:00",1928,13.43,33.62,42.80939,-113.6741,1317,67.35,206.4
"2023-05-31 13:30:00",1929,13.46,33.85,42.80941,-113.6742,1316,65.96,214.5
"2023-05-31 13:45:00",1930,13.43,34.18,42.80944,-113.6743,1319,64.26,221.7
"2023-05-31 14:00:00",1931,13.43,34.66,42.80948,-113.6744,1319,62.32,228.1
"2023-05-31 14:15:00",1932,13.43,35.53,42.80954,-113.6745,1319,60.19,233.8
"2023-05-31 14:30:00",1933,13.34,36.15,42.80958,-113.6746,1320,57.9,238.9
"2023-05-31 14:45:00",1934,13.41,37.2,42.80964,-113.6747,1319,55.49,243.5
"2023-05-31 15:00:00",1935,13.38,38.3,42.80967,-113.6747,1322,52.99,247.6
"2023-05-31 15:15:00",1936,13.34,39.21,42.80973,-113.6748,1320,50.41,251.4
"2023-05-31 15:30:00",1937,13.23,39.43,42.80977,-113.6749,1321,47.78,254.8
"2023-05-31 15:45:00",1938,13.36,39.72,42.80984,-113.675,1325,45.11,258.1
"2023-05-31 16:00:00",1939,13.36,39.55,42.80988,-113.6751,1324,42.41,261.1
"2023-05-31 16:15:00",1940,13.36,39.18,42.80992,-113.6751,1322,39.68,264
"2023-05-31 16:30:00",1941,13.37,38.08,42.80999,-113.6752,1323,36.94,266.7
"2023-05-31 16:45:00",1942,13.38,35.74,42.81003,-113.6753,1321,34.2,269.3
"2023-05-31 17:00:00",1943,13.41,33.48,42.81009,-113.6753,1320,31.45,271.8
"2023-05-31 17:15:00",1944,13.43,31.67,42.81016,-113.6754,1323,28.71,274.3
"2023-05-31 17:30:00",1945,13.12,29.47,42.81022,-113.6755,1322,25.97,276.7
"2023-05-31 17:45:00",1946,13.01,27.86,42.8103,-113.6755,1319,23.25,279.1
