"TOA5","MESA_GPS","CR300","8873","CR310-CELL210.Std.10.02","CPU:CAFE_GPS_MESA_2023_B.CR300","15608","IRT"
"TIMESTAMP","RECORD","Latitude","Longitude","IRT_Before_Target","IRT_Before_Sensor","IRT_After_Target","IRT_After_Sensor"
"TS","RN","","","Deg C","Deg C","Deg C","Deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-31 00:15:00",618,42.81021,-113.6801,8.79,12.86,9.84,12.6
"2023-05-31 00:30:00",619,42.81013,-113.6802,8.7,12.45,9.36,11.94
"2023-05-31 00:45:00",620,42.81006,-113.6803,8.19,12.43,9.82,11.92
"2023-05-31 01:00:00",621,42.80999,-113.6804,7.499,12.16,9.56,11.95
"2023-05-31 01:15:00",622,42.80993,-113.6804,7.211,11.77,9.2,11.35
"2023-05-31 01:30:00",623,42.80989,-113.6805,8.35,11.84,8.09,11.17
"2023-05-31 01:45:00",624,42.80983,-113.6806,8.44,10.19,8.26,9.98
"2023-05-31 02:00:00",625,42.80977,-113.6807,8.85,9.6,8.37,9.44
"2023-05-31 02:15:00",626,42.80972,-113.6808,9.15,9.72,8.71,9.5
"2023-05-31 02:30:00",627,42.80967,-113.6809,9.66,10.12,9.49,9.78
"2023-05-31 02:45:00",628,42.80962,-113.681,9.87,10.39,9.65,10.12
"2023-05-31 03:00:00",629,42.80956,-113.6811,9.55,10.54,9.35,10.27
"2023-05-31 03:15:00",630,42.80951,-113.6812,8.92,10.42,8.63,10.08
"2023-05-31 03:30:00",631,42.80946,-113.6813,8.74,10.06,8.36,9.72
"2023-05-31 03:45:00",632,42.80943,-113.6815,8.53,9.81,8.07,9.49
"2023-05-31 04:00:00",633,42.80939,-113.6816,8.36,9.74,8.12,9.39
"2023-05-31 04:15:00",634,42.80936,-113.6817,8.38,9.62,8.1,9.26
"2023-05-31 04:30:00",635,42.80933,-113.6818,8.28,9.43,8.02,9.06
"2023-05-31 04:45:00",636,42.8093,-113.6819,8.2,9.29,7.887,8.93
"2023-05-31 05:00:00",637,42.80928,-113.682,8.29,8.99,7.964,8.71
"2023-05-31 05:15:00",638,42.80928,-113.6821,8.69,9.27,8.43,8.93
"2023-05-31 05:30:00",639,42.80925,-113.6823,8.84,9.29,8.75,9.07
"2023-05-31 05:45:00",640,42.80926,-113.6824,9.05,9.65,8.89,9.5
"2023-05-31 06:00:00",641,42.80924,-113.6825,10.1,10.09,9.93,9.82
"2023-05-31 06:15:00",642,42.80924,-113.6826,9.56,10.27,9.34,10.05
"2023-05-31 06:30:00",643,42.80923,-113.6827,9.62,10.24,9.58,10.06
"2023-05-31 06:45:00",644,42.80924,-113.6829,12.32,12.16,12.19,11.28
"2023-05-31 07:00:00",645,42.80924,-113.683,13.51,14.04,13.18,12.71
"2023-05-31 07:15:00",646,42.80925,-113.6831,14.64,15.95,13.71,14.26
"2023-05-31 07:30:00",647,42.80928,-113.6833,15.63,15.96,14.05,14.46
"2023-05-31 07:45:00",648,42.80928,-113.6834,16.28,15.82,14.68,14.62
"2023-05-31 08:00:00",649,42.8093,-113.6835,18.17,16.4,15.79,15.04
"2023-05-31 08:15:00",650,42.80934,-113.6836,18.24,16.65,16.94,15.55
"2023-05-31 08:30:00",651,42.80938,-113.6837,18.94,16.95,17.31,16.11
"2023-05-31 08:45:00",652,42.80942,-113.6838,19.34,17.69,17.81,16.54
"2023-05-31 09:00:00",653,42.80946,-113.684,19.39,18.91,18.62,17.48
"2023-05-31 09:15:00",654,42.8095,-113.6841,20.69,19.86,19.18,18.81
"2023-05-31 09:30:00",655,42.80956,-113.6842,22.06,20.94,19.69,19.97
"2023-05-31 09:45:00",656,42.80957,-113.6842,22.82,22.69,20.24,21.43
"2023-05-31 10:00:00",657,42.80962,-113.6844,22.5,22.19,19.53,21.34
"2023-05-31 10:15:00",658,42.80968,-113.6844,23.91,22.67,20.79,22.53
"2023-05-31 10:30:00",659,42.80972,-113.6845,24.35,22.36,21.12,22.54
"2023-05-31 10:45:00",660,42.80978,-113.6846,22.54,23.12,21.12,23.06
"2023-05-31 11:00:00",661,42.80983,-113.6847,23.88,23.63,21.71,23.37
"2023-05-31 11:15:00",662,42.8099,-113.6848,23.98,23.81,22.18,23.42
"2023-05-31 11:30:00",663,42.80996,-113.6849,25.2,25.2,20.76,23.86
"2023-05-31 11:45:00",664,42.81003,-113.685,26.5,25.82,22.57,24.95
"2023-05-31 12:00:00",665,42.8101,-113.6851,25.6,25.28,21.54,24.51
"2023-05-31 12:15:00",666,42.81018,-113.6852,26.67,25.73,21.92,24.55
"2023-05-31 12:30:00",667,42.81027,-113.6852,29.7,25.24,22.61,24.3
"2023-05-31 12:45:00",668,42.81034,-113.6853,29.14,25.05,22.91,24.49
"2023-05-31 13:00:00",669,42.81042,-113.6853,27.09,24.82,23.35,24.44
"2023-05-31 13:15:00",670,42.8105,-113.6854,24.97,25.59,23.2,24.41
"2023-05-31 13:30:00",671,42.81059,-113.6854,26.46,24.87,24.78,24.77
"2023-05-31 13:45:00",672,42.81067,-113.6855,23.64,25.35,22.85,25.43
"2023-05-31 14:00:00",673,42.81075,-113.6855,24.27,26,23.23,26.18
"2023-05-31 14:15:00",674,42.81084,-113.6855,24.78,26.55,22.33,26.76
"2023-05-31 14:30:00",675,42.81093,-113.6856,24.69,27.96,22.37,27.37
"2023-05-31 14:45:00",676,42.81102,-113.6856,25.16,27.35,22.39,27.88
"2023-05-31 15:00:00",677,42.81111,-113.6856,24.27,27.09,22.66,27.75
"2023-05-31 15:15:00",678,42.81121,-113.6856,22.5,26.15,21.08,26.62
"2023-05-31 15:30:00",679,42.8113,-113.6857,22.2,25.5,20.61,25.58
"2023-05-31 15:45:00",680,42.8114,-113.6857,22.79,25.64,21.39,25.44
"2023-05-31 16:00:00",681,42.81149,-113.6857,21.42,25.11,20.61,24.98
"2023-05-31 16:15:00",682,42.81158,-113.6856,22.72,25.08,20.3,25.28
"2023-05-31 16:30:00",683,42.81166,-113.6856,16.52,22.93,15.89,22.65
